0	115	39
1	89	37
2	0	0
3	0	0
4	6	5
5	29	21
6	2	2
7	31	26
8	23	16
9	0	0
10	4	4
11	0	0
12	0	0
13	0	0
14	51	44
15	31	26
16	0	0
17	3	2
18	0	0
19	0	0
20	0	0
21	0	0
22	26	26
23	0	0
24	5	5
25	16	16
26	0	0
27	0	0
28	28	24
29	1	1
30	0	0
31	2	2
32	6	6
33	0	0
34	0	0
35	34	26
36	2	2
37	0	0
38	0	0
39	18	8
40	1	1
41	0	0
42	36	27
43	2	2
44	32	22
45	1	1
46	4	4
47	31	26
48	3	2
49	2	1
50	16	16
51	7	2
52	0	0
53	0	0
54	2	2
55	0	0
56	23	13
57	18	15
58	2	2
59	5	5
60	0	0
61	19	7
62	6	5
63	5	5
64	3	3
65	4	4
66	0	0
67	2	2
68	4	4
69	0	0
70	3	3
71	30	17
72	34	27
73	0	0
74	0	0
75	0	0
76	34	22
77	3	3
78	2	1
79	0	0
80	3	2
81	0	0
82	34	26
83	1	1
84	0	0
85	0	0
86	0	0
87	53	38
88	31	26
89	0	0
90	1	1
91	34	26
92	22	20
93	50	37
94	68	46
95	0	0
96	3	3
97	41	30
98	41	30
99	24	13
100	0	0
101	7	7
102	0	0
103	1	1
104	26	24
105	6	5
106	1	1
107	0	0
108	0	0
109	36	27
110	0	0
111	0	0
112	3	3
113	19	7
114	5	5
115	0	0
116	17	14
117	0	0
118	2	1
119	5	5
120	29	19
121	7	6
122	0	0
123	3	2
124	0	0
125	2	2
126	29	27
127	7	6
128	27	27
129	29	19
130	15	14
131	0	0
132	0	0
133	0	0
134	1	1
135	1	1
136	60	60
137	44	36
138	39	32
139	32	23
140	0	0
141	2	2
142	0	0
143	1	1
144	41	30
145	0	0
146	0	0
147	6	6
148	51	30
149	0	0
150	1	1
151	4	4
152	77	38
153	95	43
154	19	9
155	49	35
156	5	5
157	3	3
158	2	2
159	5	5
160	17	12
161	0	0
162	50	36
163	32	31
164	0	0
165	0	0
166	0	0
167	0	0
168	11	5
169	4	4
170	10	9
171	4	4
172	57	24
173	4	4
174	0	0
175	4	4
176	7	5
177	6	4
178	0	0
179	14	7
180	0	0
181	7	7
182	0	0
183	0	0
184	4	4
185	23	21
186	4	4
187	5	5
188	0	0
189	23	9
190	4	4
191	33	23
192	0	0
193	0	0
194	12	11
195	0	0
196	5	5
197	5	4
198	12	8
199	5	5
200	4	4
201	13	8
202	9	8
203	2	2
204	103	54
205	107	55
206	24	24
207	0	0
208	0	0
209	11	11
210	0	0
211	7	7
212	48	41
213	4	3
214	43	36
215	0	0
216	4	4
217	5	5
218	0	0
219	13	13
220	21	19
221	2	2
222	17	17
223	0	0
224	0	0
225	5	5
226	17	17
227	0	0
228	43	36
229	0	0
230	0	0
231	0	0
232	3	3
233	3	3
234	0	0
235	0	0
236	0	0
237	5	5
238	4	3
239	4	4
240	3	3
241	0	0
242	4	3
243	0	0
244	2	1
245	17	14
246	0	0
247	0	0
248	1	1
249	43	36
250	0	0
251	3	3
252	1	1
253	1	1
254	12	9
255	8	7
256	1	1
257	0	0
258	11	11
259	19	16
260	0	0
261	5	5
262	21	18
263	0	0
264	43	36
265	0	0
266	3	3
267	7	6
268	1	1
269	22	17
270	0	0
271	4	4
272	0	0
273	0	0
274	8	8
275	1	1
276	0	0
277	0	0
278	0	0
279	5	5
280	3	3
281	21	16
282	0	0
283	15	14
284	0	0
285	1	1
286	45	32
287	1	1
288	1	1
289	4	4
290	11	11
291	0	0
292	9	8
293	0	0
294	29	27
295	2	2
296	43	36
297	4	4
298	7	6
299	41	35
300	0	0
301	42	28
302	1	1
303	0	0
304	18	18
305	0	0
306	93	36
307	91	36
308	19	10
309	0	0
310	6	5
311	16	15
312	34	24
313	6	6
314	2	2
315	12	10
316	0	0
317	3	3
318	28	26
319	27	21
320	5	4
321	5	4
322	23	23
323	3	3
324	24	23
325	30	28
326	0	0
327	5	4
328	0	0
329	1	1
330	3	3
331	0	0
332	22	9
333	6	4
334	5	4
335	0	0
336	0	0
337	3	3
338	3	3
339	0	0
340	1	1
341	2	1
342	1	1
343	5	5
344	0	0
345	0	0
346	17	16
347	0	0
348	9	9
349	8	7
350	0	0
351	50	40
352	0	0
353	10	9
354	15	15
355	11	10
356	20	20
357	0	0
358	6	5
359	2	2
360	8	8
361	5	4
362	1	1
363	21	8
364	18	17
365	5	4
366	0	0
367	0	0
368	0	0
369	6	6
370	16	16
371	20	19
372	5	4
373	20	19
374	0	0
375	7	6
376	2	2
377	5	4
378	0	0
379	32	30
380	8	7
381	0	0
382	11	3
383	5	4
384	8	7
385	0	0
386	5	4
387	0	0
388	2	2
389	8	7
390	5	5
391	17	16
392	0	0
393	17	16
394	0	0
395	6	6
396	0	0
397	0	0
398	5	4
399	0	0
400	8	1
401	4	4
402	0	0
403	6	6
404	0	0
405	5	4
406	0	0
407	1	1
408	63	39
409	67	39
410	57	53
411	45	29
412	7	6
413	2	1
414	38	27
415	0	0
416	0	0
417	3	3
418	9	9
419	0	0
420	4	4
421	42	40
422	23	23
423	3	3
424	41	33
425	7	5
426	27	22
427	29	27
428	0	0
429	35	29
430	2	1
431	53	38
432	37	35
433	3	3
434	1	1
435	15	15
436	6	4
437	53	38
