0	525
1	261
2	194
3	182
4	130
5	97
6	96
7	88
8	68
9	55
10	57
11	68
12	81
13	53
14	84
15	56
16	60
17	68
18	52
19	62
20	48
21	44
22	43
23	40
24	53
25	37
26	28
27	33
28	24
29	21
30	20
31	16
32	22
33	10
34	12
35	12
36	18
37	21
38	18
39	15
40	18
41	17
42	19
43	17
44	11
45	11
46	9
47	11
48	7
49	10
50	6
51	10
52	4
53	6
54	8
55	7
56	9
57	2
58	8
59	11
60	14
61	12
62	7
63	5
64	3
65	6
66	5
67	7
68	11
69	10
70	7
71	12
72	10
73	11
74	10
75	9
76	2
77	3
78	4
79	1
80	3
81	1
82	2
83	0
84	0
85	0
86	0
87	5
88	3
89	6
90	5
91	1
92	3
93	6
94	5
95	5
96	0
97	1
98	1
99	2
100	5
101	5
102	5
103	6
104	8
105	2
106	1
107	1
108	1
109	0
110	6
111	0
112	0
113	0
114	7
115	5
116	6
117	1
118	1
119	1
120	0
121	0
122	1
123	2
124	1
125	5
126	0
127	1
128	0
129	10
130	0
131	2
132	1
133	1
134	1
135	0
136	2
137	5
138	4
139	4
140	0
141	0
142	1
143	5
144	1
145	5
146	0
147	0
148	6
149	4
150	5
151	0
152	0
153	1
154	1
155	1
156	0
157	0
158	0
159	0
160	0
161	0
162	3
163	0
164	3
165	1
166	0
167	1
